faction,gameSystem,spellId,name,type,threshold,effect,effectSkirmish,spellbookId
Hired Guards,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Human Empire,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Human Empire,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Human Empire,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Human Empire,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Human Empire,age-of-fantasy-skirmish,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Human Empire,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Kingdom of Angels,age-of-fantasy-skirmish,q1qfM,Terrify,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Kingdom of Angels,age-of-fantasy-skirmish,qb3F_,Thunder,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Kingdom of Angels,age-of-fantasy-skirmish,gOupW,Star Chains,2,2,"Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Kingdom of Angels,age-of-fantasy-skirmish,TBeVU,Lightning,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Kingdom of Angels,age-of-fantasy-skirmish,fNgp0,Shock Speed,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
Kingdom of Angels,age-of-fantasy-skirmish,atYy8,Storm,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Lust Disciples,age-of-fantasy-skirmish,p2h8M,Acquiescence,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Lust Disciples,age-of-fantasy-skirmish,lnOqv,Seizure,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Lust Disciples,age-of-fantasy-skirmish,2B4xi,Pleasure,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Lust Disciples,age-of-fantasy-skirmish,3Osna,Pain,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Lust Disciples,age-of-fantasy-skirmish,UijMy,Ecstasy,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
Lust Disciples,age-of-fantasy-skirmish,Huu7h,Overpower,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Mercenaries,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Mercenaries,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Mercenaries,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Mercenaries,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Mercenaries,age-of-fantasy-skirmish,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Mercenaries,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Merchant Unions,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Merchant Unions,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Merchant Unions,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Merchant Unions,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Merchant Unions,age-of-fantasy-skirmish,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Merchant Unions,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Mummified Undead,age-of-fantasy-skirmish,RHlMW,Blade Curse,1,1,"Target 4 friendly units within 12"" get Poison next time they fight in melee.","Target 4 friendly units within 12"" get Poison next time they fight in melee.",9aOrY
Mummified Undead,age-of-fantasy-skirmish,zXnpq,Storm of Skulls,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Mummified Undead,age-of-fantasy-skirmish,gWj97,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Mummified Undead,age-of-fantasy-skirmish,xpivj,Desiccation,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Mummified Undead,age-of-fantasy-skirmish,9Eenx,Smiting,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
Mummified Undead,age-of-fantasy-skirmish,rdiUv,Vengeance,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Ogres,age-of-fantasy-skirmish,kk4L4,Gorge,1,1,"Target 4 friendly units within 12"" get Furious next time they charge.","Target 4 friendly units within 12"" get Furious next time they charge.",8ACAf
Ogres,age-of-fantasy-skirmish,2dOT_,Gobble,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Ogres,age-of-fantasy-skirmish,EvHxn,Crack,2,2,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Ogres,age-of-fantasy-skirmish,ccQGP,Crush,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Ogres,age-of-fantasy-skirmish,TYbaE,Guts,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Ogres,age-of-fantasy-skirmish,GVU_x,The Maw,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Orcs,age-of-fantasy-skirmish,d0bG6,Evil Gaze,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Orcs,age-of-fantasy-skirmish,0YHv1,Burst,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Orcs,age-of-fantasy-skirmish,lzJON,Magic Fists,1,2,"Target 4 friendly units within 12"" get Rending next time they fight in melee.","Target 4 friendly units within 12"" get Rending next time they fight in melee.",Irkg9
Orcs,age-of-fantasy-skirmish,f5mYY,Headbutt,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Orcs,age-of-fantasy-skirmish,sski4,Let’s Go,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Orcs,age-of-fantasy-skirmish,giYEK,Godly Foot,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Ossified Undead,age-of-fantasy-skirmish,0IHO_,Enslave,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Ossified Undead,age-of-fantasy-skirmish,P9WqK,Undermine,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Ossified Undead,age-of-fantasy-skirmish,23rCn,Command,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Ossified Undead,age-of-fantasy-skirmish,iEsAC,Deadly Contract,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Ossified Undead,age-of-fantasy-skirmish,jDRuO,Drain,2,3,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Ossified Undead,age-of-fantasy-skirmish,f9ADc,Deception,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Outskirt Raiders,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Outskirt Raiders,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Outskirt Raiders,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Outskirt Raiders,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Outskirt Raiders,age-of-fantasy-skirmish,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Outskirt Raiders,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Plague Disciples,age-of-fantasy-skirmish,JBTgx,Blessed Virus,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Plague Disciples,age-of-fantasy-skirmish,hauSD,Muscular Atrophy,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Plague Disciples,age-of-fantasy-skirmish,3ByuR,Putrefaction,1,2,"Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Plague Disciples,age-of-fantasy-skirmish,vSuME,Plague Curse,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Plague Disciples,age-of-fantasy-skirmish,XYw43,Pestilence,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Plague Disciples,age-of-fantasy-skirmish,wKLGz,Rot Wave,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Ratmen,age-of-fantasy-skirmish,PldYq,Filth,1,1,"Target 4 friendly units within 12"" get Poison next time they fight in melee.","Target 4 friendly units within 12"" get Poison next time they fight in melee.",9aOrY
Ratmen,age-of-fantasy-skirmish,9WbsT,Cracks,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Ratmen,age-of-fantasy-skirmish,DnGjg,Sickness,2,2,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Ratmen,age-of-fantasy-skirmish,9olwC,Lightning,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Ratmen,age-of-fantasy-skirmish,ZoaQR,Frenzy,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Ratmen,age-of-fantasy-skirmish,zY114,Pestilence,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Rift Daemons of Change,age-of-fantasy-skirmish,NoUXs,Breath of Change,1,1,"Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Rift Daemons of Change,age-of-fantasy-skirmish,o7wR7,Blaze,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Rift Daemons of Change,age-of-fantasy-skirmish,C7o9-,Steal Power,2,2,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Rift Daemons of Change,age-of-fantasy-skirmish,cu5MA,Inferno,0,2,Target enemy unit within 18” takes 1 hit with Blast(3).,Target enemy unit within 18” takes 1 hit with Blast(3).,_fl49
Rift Daemons of Change,age-of-fantasy-skirmish,3ajfB,Loyalty,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Rift Daemons of Change,age-of-fantasy-skirmish,o5PK5,Bolt of Change,0,3,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).",tNVWP
Rift Daemons of Lust,age-of-fantasy-skirmish,hEwY0,Acquiescence,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Rift Daemons of Lust,age-of-fantasy-skirmish,ygs3s,Seizure,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Rift Daemons of Lust,age-of-fantasy-skirmish,iLecu,Pleasure,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Rift Daemons of Lust,age-of-fantasy-skirmish,JQL2J,Pain,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Rift Daemons of Lust,age-of-fantasy-skirmish,g5Pm-,Ecstasy,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
Rift Daemons of Lust,age-of-fantasy-skirmish,OyF32,Overpower,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Rift Daemons of Plague,age-of-fantasy-skirmish,J49Dl,Blessed Virus,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Rift Daemons of Plague,age-of-fantasy-skirmish,NLQai,Muscular Atrophy,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Rift Daemons of Plague,age-of-fantasy-skirmish,QTyGH,Putrefaction,1,2,"Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Rift Daemons of Plague,age-of-fantasy-skirmish,wOq34,Plague Curse,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Rift Daemons of Plague,age-of-fantasy-skirmish,RoTN4,Pestilence,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Rift Daemons of Plague,age-of-fantasy-skirmish,tB0nB,Rot Wave,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Rift Daemons of War,age-of-fantasy-skirmish,jLEBT,Melt Armor,2,1,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Rift Daemons of War,age-of-fantasy-skirmish,RDJmq,Headchop,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Rift Daemons of War,age-of-fantasy-skirmish,x63P6,Fiery Defense,1,2,"Target 4 friendly units within 12"" get Counter next time they are charged.","Target 4 friendly units within 12"" get Counter next time they are charged.",iX6gb
Rift Daemons of War,age-of-fantasy-skirmish,cm7ec,Slaughter,0,2,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 2 hits with AP(2).",cJZ_-
Rift Daemons of War,age-of-fantasy-skirmish,YsVNA,Wings of War,1,3,"Target 6 friendly units within 12"" get Flying next time they move.","Target 6 friendly units within 12"" get Flying next time they move.",hULCg
Rift Daemons of War,age-of-fantasy-skirmish,IaJa-,Massacre,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Saurians,age-of-fantasy-skirmish,xJxyx,Scrutiny,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Saurians,age-of-fantasy-skirmish,mjhEg,Serpent Egg,0,1,Target enemy unit within 12” takes 2 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Saurians,age-of-fantasy-skirmish,ws-kt,Energy Reservoir,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Saurians,age-of-fantasy-skirmish,4TEQZ,Jaguar Pounce,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Saurians,age-of-fantasy-skirmish,Sg0ow,Transcend,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Saurians,age-of-fantasy-skirmish,yxooH,Piranha Swarm,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Shadow Stalkers,age-of-fantasy-skirmish,H-7Tm,Haunted,2,1,"Target 4 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Shadow Stalkers,age-of-fantasy-skirmish,J4KaX,Spectral Light,0,1,Target enemy unit within 12” takes 2 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Shadow Stalkers,age-of-fantasy-skirmish,0sKLD,Cobweb,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Shadow Stalkers,age-of-fantasy-skirmish,hkaOy,Chill of Death,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Shadow Stalkers,age-of-fantasy-skirmish,Z0ZTA,Possessed,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Shadow Stalkers,age-of-fantasy-skirmish,o3jjA,Thorn Vines,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Shortling Alliances,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Shortling Alliances,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Shortling Alliances,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Shortling Alliances,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Shortling Alliances,age-of-fantasy-skirmish,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Shortling Alliances,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Sky-City Dwarves,age-of-fantasy-skirmish,13t_r,Wind Rune,1,1,"Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Sky-City Dwarves,age-of-fantasy-skirmish,LAKWL,Aether Shock,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Sky-City Dwarves,age-of-fantasy-skirmish,EBeNi,Tinker,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Sky-City Dwarves,age-of-fantasy-skirmish,yK5k_,Sledge Shock,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Sky-City Dwarves,age-of-fantasy-skirmish,-vMOe,Sky-Sight,1,3,"Target 4 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Sky-City Dwarves,age-of-fantasy-skirmish,KC8Jd,Sky Shock,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Trade Federations,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Trade Federations,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Trade Federations,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Trade Federations,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Trade Federations,age-of-fantasy-skirmish,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Trade Federations,age-of-fantasy-skirmish,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Treasure Hunters,age-of-fantasy-skirmish,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Treasure Hunters,age-of-fantasy-skirmish,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Treasure Hunters,age-of-fantasy-skirmish,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Treasure Hunters,age-of-fantasy-skirmish,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
